Generation,evals,avg,std,min,max,best_one,fitness_best_one
76,342,[  7.         390.88162403],[0.         0.61119975],[  7.         389.38841644],[  7.         392.12458838],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 1, 2]","(7.0, 389.3884164429244)"
77,344,[  7.         390.50634594],[0.         0.07115548],[  7.         389.38841644],[  7.         390.52747535],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 1, 2]","(7.0, 389.3884164429244)"
78,346,[  7.         390.48003629],[0.         0.11580556],[  7.         389.19904019],[  7.         390.52747535],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 389.19904019123413)"
79,340,[  7.         390.43073806],[0.         0.14898024],[  7.         389.19904019],[  7.         390.52747535],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 389.19904019123413)"
80,324,[  7.         390.37118401],[0.         0.18458279],[  7.         389.19904019],[  7.         390.40353122],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 389.19904019123413)"
81,312,[  7.         390.33852695],[0.         0.25821741],[  7.         389.19904019],[  7.         390.40353122],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 389.19904019123413)"
82,352,[  7.         390.25846654],[0.         0.37268592],[  7.         389.19904019],[  7.         390.40353122],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 389.19904019123413)"
83,358,[  7.         390.08867501],[0.         0.50119144],[  7.         389.19904019],[  7.         390.40353122],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 389.19904019123413)"
84,320,[  7.         389.71333743],[0.        0.5417972],[  7.         389.19904019],[  7.         390.40353122],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 389.19904019123413)"
85,344,[  7.         389.26885144],[0.         0.09024541],[  7.         389.19904019],[  7.         389.38841644],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 389.19904019123413)"
86,344,[  7.         389.19904019],[0.00000000e+00 1.76214598e-12],[  7.         389.19904019],[  7.         389.19904019],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 389.19904019123413)"
87,330,[  7.         389.19904019],[0.00000000e+00 1.76214598e-12],[  7.         389.19904019],[  7.         389.19904019],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 389.19904019123413)"
88,342,[  7.         389.19904019],[0.00000000e+00 1.76214598e-12],[  7.         389.19904019],[  7.         389.19904019],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 389.19904019123413)"
89,358,[  7.         389.19904019],[0.00000000e+00 1.76214598e-12],[  7.         389.19904019],[  7.         389.19904019],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 389.19904019123413)"
90,346,[  7.         389.19619254],[0.         0.05688171],[  7.         388.05998128],[  7.         389.19904019],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
91,338,[  7.        389.1933449],[0.         0.08034202],[  7.         388.05998128],[  7.         389.19904019],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
92,348,[  7.         389.18480195],[0.         0.12655221],[  7.         388.05998128],[  7.         389.19904019],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
93,346,[  7.         389.16486842],[0.         0.19430889],[  7.         388.05998128],[  7.         389.19904019],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
94,324,[  7.         389.12215371],[0.         0.28577385],[  7.         388.05998128],[  7.         389.19904019],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
95,340,[  7.       389.031029],[0.         0.40391445],[  7.         388.05998128],[  7.         389.19904019],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
96,338,[  7.         388.81176016],[0.        0.5395822],[  7.         388.05998128],[  7.         389.19904019],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
97,340,[  7.         388.42139996],[0.         0.52991553],[  7.         388.05998128],[  7.         389.19904019],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 21, 22, 20, 15, 19, 18, 16, 14, 12, 7, 4, 2, 1]","(7.0, 388.0599812825695)"
